rank,nct_id,title,base_score,top_10_probability,countries
1,NCT03263247,Cognitive Training in Patients With MCI Using fMRI,1.0,1.0,Brazil
2,NCT06733714,Association of Transcranial Alternating Current Stimulation with Digital Cognitive Training for Cognitive Remediation in Older Adults,0.9875,1.0,Brazil
15,NCT07579884,To Evaluate the Safety and Efficacy of RP902 Tablets,0.9375,0.9925,
19,NCT07688382,The Effect of Lavender Aromatherapy on Cognitive Function in Older Adults With Mild Cognitive Impairment,0.9375,0.9925,
21,NCT07762235,High-Amplitude Functional Exercises in Older Adults With Mild Cognitive Impairment,0.9375,0.9925,
20,NCT07747675,Cognitive Intervention for Cognitive Impairment,0.9375,0.9885,
18,NCT07656480,The Effects of Single Baduanjin and Elastic Band Exercises on VSWM in Elderly Individuals With MCI,0.9375,0.9855,
17,NCT07642518,Transcutaneous Auricular Vagus Nerve Stimulation in Type 2 Diabetes With Mild Cognitive Impairment,0.9375,0.9415,
3,NCT07213700,InRAD Observational Study,0.9625,0.915,Austria; Belgium; Brazil; Czechia; Greece; Italy; Romania; Saudi Arabia; Spain; Turkey (Türkiye)
4,NCT07391436,Use of Wearables for Identifying Factors Associated With Mild Cognitive Impairment and Early-Stage Alzheimer's Disease,0.9625,0.915,Brazil
