nct_id,title,overall_status,conditions,sex,minimum_age_years,maximum_age_years,countries,phases,interventions,eligibility_text,brief_summary,last_update,source_url
NCT00051324,Neurobiological Predictors of Huntington's Disease (PREDICT-HD),ACTIVE_NOT_RECRUITING,"[""Huntington Disease""]",ALL,18.0,,"[""United States""]",[],[],"Inclusion Criteria:

* men and women at risk for HD, who have been tested for the HD gene mutation, and who have not been diagnosed with symptoms of HD (CAG ≥36 for CAG-expanded group or CAG \<36 for CAG-norm group).

Exclusion Criteria:

* diagnosis of manifest HD (at least 50% confidence by neurologist that symptoms are present);
* clinical evidence of unstable medical or psychiatric illness (including substance abuse);
* history of sever learning disability or mental retardation;
* history of other CNS disease or event (e.g., seizures or head trauma);
* current treatment with antipsychotic medications, including the traditional neuroleptics such as haloperidol as well as the atypical antipsychotics risperidone, clozapine, quetiapine, and olanzapine;
* treatment with phenothiazine-derivative antiemetic medications such as prochlorperazine, metoclopramide, promethazine, and Inapsine on a regular basis (greater than 3 times per month);

Specific exclusion criteria for the lumbar puncture:

* Current use of anti-coagulants
* Current use of anti-platelets
* Unable to provide consent for him/herself","The purpose of this trial is to study early brain and behavioral changes in people who have the gene expansion for Huntington's disease, but are currently healthy and have no symptoms.",2025-01-14,https://clinicaltrials.gov/study/NCT00051324
NCT00064870,Alzheimer's Disease Genetics Study,RECRUITING,"[""Alzheimer Disease"", ""Late Onset Alzheimer Disease"", ""Dementia""]",ALL,18.0,,"[""United States""]",[],[],"Inclusion Criteria:

* Two living family members diagnosed with AD or other dementia with any age of onset
* Biological samples available

  * Fresh blood, or
  * Immortalized lymphoblastic cell lines, or
  * 3-5 grams of frozen cerebral cortex; fixed samples are not accepted

Please note: this study does not include genetic counseling; because no personal identifying information such as name or date of birth is attached to samples, results of individual tests are not available to participants or family members.

Exclusion Criteria:

* Does not meet inclusion criteria
* Member of a family that was included in the National Institute of Mental Health AD Genetics Sib Pair collection",The purpose of the Alzheimer's Disease Genetics Study is to identify the genes that are responsible for causing Alzheimer's Disease (AD). One of the ways in which the risk factor genes for late onset AD can be investigated is by identifying and collecting genetic material from families with multiple members diagnosed with AD or dementia.,2025-10-01,https://clinicaltrials.gov/study/NCT00064870
NCT00317616,The Pre-symptomatic Familial Amyotrophic Lateral Sclerosis (Pre-fALS) Study,RECRUITING,"[""Amyotrophic Lateral Sclerosis""]",ALL,18.0,,"[""United States""]",[],[],"Inclusion Criteria

* A member of a family in which a mutation in a gene associated with ALS has been identified.
* No symptoms to suggest the presence of ALS (i.e. study participants must currently be healthy).
* Having at least 50% probability of carrying an ALS associated gene mutation based on family pedigree.
* Willingness to undergo genetic testing, with the option of whether or not to learn the results.
* Willingness and availability to travel to Miami for a few days approximately every 12 to 24 months to complete biomarker procedures (e.g, MRI, blood draws, spinal tab/lumbar puncture, cognitive testing)

Exclusion Criteria

* Diagnosis of ALS
* Any condition or situation which, in the PI's opinion, could confound the biomarker data or may interfere with the individual's participation and compliance with the study protocol, including but not limited to neurological, psychological and/or medical conditions.","Pre-fALS is a prospective natural history and biomarker study of people not yet affected with ALS, but who are at genetic risk for developing ALS. The investigators aim to recruit unaffected (healthy) people from familial ALS (fALS) pedigrees in which a known genetic mutation associated with ALS has been identified; for this study, a fALS pedigree is one with two biologically related individuals who have or have had ALS and/or FTD. Individuals who may be at genetic risk for ALS and who belong to families with at least one affected family member who has tested positive for a known ALS genetic mutation may also be eligible to participate. Our goal is to study the pre-symptomatic phase, onset and progression of ALS and to learn more about genetic and environmental factors that put people at risk for developing ALS.",2026-03-20,https://clinicaltrials.gov/study/NCT00317616
NCT00392795,The BRAIN Intensive Care Unit (ICU) Study: Bringing to Light the Risk Factors,ACTIVE_NOT_RECRUITING,"[""Delirium"", ""Cognition Disorders"", ""Dementia""]",ALL,18.0,,"[""United States""]",[],[],"Inclusion Criteria:

* Patients will be included if they are adult, patients in a medical and/or surgical ICU receiving treatment for any of the following: respiratory failure or cardiogenic or septic shock.

Exclusion Criteria:

Patients who meet the inclusion criteria will be excluded if they meet any of the following criteria:

* Cumulative ICU time \>5 days in the past 30 days, not including the current ICU stay, as this might create a state of flux regarding patients' cognitive baseline
* Severe cognitive or neurodegenerative diseases that prevent a patient from living independently at baseline, including mental illness requiring institutionalization, acquired or congenital mental retardation, known brain lesions, traumatic brain injury, cerebrovascular accidents with resultant moderate to severe cognitive deficits or ADL dependency, Parkinson's disease, Huntington's disease, severe Alzheimer's disease or dementia of any etiology
* ICU admission post cardiopulmonary resuscitation with suspected anoxic injury
* An active substance abuse or psychotic disorder, or a recent (within the past 6 months) serious suicidal gesture necessitating hospitalization. This exclusion will enrich follow-up rates by avoiding patients with whom it is particularly challenging to maintain long-term contact
* Blind, deaf, or unable to speak English, as these conditions would preclude our ability to perform the follow-up evaluation interviews.
* Overly moribund and not expected to survive for an additional 24 hours and / or withdrawing life support to focus on comfort measures only.
* Prisoners.
* Patients who live further than 200 miles from Nashville and who do not regularly visit the Nashville area.
* Patients who are homeless and have no secondary contact person available. This exclusion will enrich follow-up rates by avoiding patients with whom it is particularly challenging to maintain long-term contact
* The onset of the current episode of respiratory failure, cardiogenic shock, or septic shock was \> 72 hours ago.
* Patients who have had cardiac bypass surgery within the past 3 months (including the current hospitalization)","The primary purpose of this proposal will be to identify potentially modifiable risk factors of long-term cognitive impairment (i.e. development of delirium and exposure to sedative and analgesic medications) in ICU patients. The investigators will quantify the independent contribution of these risk factors to the incidence of long-term cognitive impairment, controlling for other established risk factors including age, pre-existing cognitive impairment, and apolipoprotein E (apoE) genotype. Quantifying the contributions of these modifiable risk factors will pave the way for the development of preventive and/or treatment strategies to reduce the incidence, severity and/or duration of long-term cognitive impairment and improve functional recovery for patients with critical illness.",2026-02-02,https://clinicaltrials.gov/study/NCT00392795
NCT00537004,Language in Primary Progressive Aphasia,RECRUITING,"[""Primary Progressive Aphasia""]",ALL,,,"[""United States""]",[],[],"Inclusion Criteria:

* Diagnosis of primary progressive aphasia
* Right-handed
* Native English speaker
* Visual acuity of 20/30 corrected
* Adequate hearing to follow conversation
* Safe for an MRI scan

Exclusion Criteria:

* Left-handedness
* Claustrophobia
* Presence of significant medical illness that initially or in the future could interfere with continued participation in the study",The purpose of this study is to further define the neurological and linguistic deterioration in primary progressive aphasia.,2026-02-27,https://clinicaltrials.gov/study/NCT00537004
NCT00585572,Wisconsin Brain Donor Program,ENROLLING_BY_INVITATION,"[""Alzheimer's Disease"", ""Mild Cognitive Impairment""]",ALL,18.0,,"[""United States""]",[],[],"Inclusion Criteria:

* Is aged 18 years or older
* Falls into one of the following categories:

  * Current or previous study participants involved in the ADRC Clinical Core, WRAP study, or other select ADRC-affiliated studies, or donors of special circumstance, including healthy controls, if approved on a case-by-case basis by the WBDP PI. Please note, ADRC-affiliated studies are not inclusive of ADRC-affiliated industry-sponsored studies.
  * Is a parent of either an ADRC Clinical Core or WRAP study participant, or is a spouse of a WRAP study participant.

Exclusion Criteria:

* VA research subjects
* Subjects with a medical condition/disease that would exclude them from the spectrum of utility/interest to researchers as determined by a WBDP Neuropathologist:

  1. Persons with Hepatitis B or C
  2. Severe Traumatic Brain Injury
  3. Positive CJD diagnosis
  4. Persons with HIV/AIDS
  5. Persons with brain tumors or blood clots that affect neurologic status, therefore creating a problem between diagnosing AD status and healthy status
  6. Cancer that has metastasized to the brain
  7. Radiation treatment to the head
  8. Other infectious diseases that would be hazardous to staff handling the tissue
  9. Prolonged ventilator dependency prior to death as determined by the Neuropathologist
* Subjects who lack capacity to provide informed consent with no activated Power of Attorney (POA) for Healthcare, activated POA for Research, or legal guardianship (if not near death), or (if at or near death) have no spouse, parent, relative or friend willing/able to complete consent and other donation paperwork.
* Subjects who otherwise have incomplete history or incomplete donation paperwork before a recovery can begin.
* Subjects younger than 18 years of age.
* An expected post-mortem interval (PMI) of greater than 16 hours for non-ADRC or non-WRAP participants. PMI is the time between death and the anticipated time of brain removal at autopsy. Families and recovery agencies are made aware of this time constraint when consenting for the recovery process. If a patient becomes ineligible due to PMI, the family and funeral home will be notified immediately. Diversions from this exclusion can be made by a WBDP PI or Co-PI.
* Medical conditions that would put researchers at risk.
* Other contingencies, as determined by the PI, that make enrollment impractical or unsafe.

Note: It is anticipated, based upon the younger age of our study cohorts, that significant time may pass between WBDP registration and actual donation. The inclusion/exclusion criteria will be reviewed and applied at time of donation. As a result, donated tissue found to be unsuitable may be removed from the post-mortem tissue and biosamples collection.","The Wisconsin Brain Donor Program (WBDP) stores brain and other tissues/samples (e.g. blood and CSF) from deceased individuals who have participated in longitudinal research studies, as well as other select participants. These individuals have donated their tissues in order to aid scientific research. Through the collection of central and peripheral nervous tissues as well as (in select cases) skeletal muscle tissue, the WBDP strives to advance the knowledge of diseases of memory disorders, such as Alzheimer's Disease. Brain donations are needed from healthy individuals, as well as those affected by diseases of the nervous system.",2026-08-14,https://clinicaltrials.gov/study/NCT00585572
NCT00869817,Dominantly Inherited Alzheimer Network (DIAN),RECRUITING,"[""Alzheimer's Disease""]",ALL,18.0,,"[""Argentina"", ""Australia"", ""Brazil"", ""Canada"", ""Colombia"", ""Germany"", ""Japan"", ""Mexico"", ""Netherlands"", ""South Korea"", ""Spain"", ""United Kingdom"", ""United States""]",[],[],"Inclusion Criteria:

* Written informed consent obtained from participant and collateral source prior to any study-related procedures.
* Aged 18 (inclusive) or older and the child of an affected individual (clinically or by testing) in a pedigree with a known mutation for ADAD.
* Cognitively normal to very mild or mild cognitive impairment (CDR score range 0-1.0). Primary enrollment will focus on the recruitment of asymptomatic adult children who are more than 15 years younger than the estimated age of symptom onset. Enrollment of new participants with moderate cognitive impairment is allowed with the prior approval of the DIAN Coordinating Center.
* Has two persons who are not their full-blooded siblings who can serve as collateral sources for the study.
* Fluent in a language approved by the DIAN Coordinating Center at about the 6th grade level (international equivalent) or above.

Exclusion Criteria:

* Under age 18
* Medical or psychiatric illness that would interfere in completing initial and follow-up visits
* Requires nursing home level care
* Has no one who can serve as a study informant",The purpose of this study is to identify potential biomarkers that may predict the development of Alzheimer's disease in people who carry an Alzheimer's mutation.,2026-07-20,https://clinicaltrials.gov/study/NCT00869817
NCT00874783,Development of IPS from Donated Somatic Cells of Patients with Neurological Diseases,RECRUITING,"[""Neurodegenerative Disorders""]",ALL,18.0,,"[""Israel""]",[],[],"Inclusion Criteria:

* Donors suffering from different (specified) neurodegenerative disorders scheduled to undergo surgery for medical reasons or will donate a single or a few hairs--to be removed intact from the scull or other areas in the body.
* Healthy donors scheduled to undergo surgery for medical reasons or will donate a single or a few hairs--to be removed intact from the scull or other areas in the body.

Exclusion Criteria:

* None","Human fibroblasts and possibly other human somatic cells may be reprogrammed into induced pluripotent stem (iPS) cells by the forced expression of transcription factors (1-5). The iPS cells seem to share many properties with human embryonic stem cells.

Induced pluripotent stem cells potentially may be useful in the future as an unlimited source of cells for transplantation.

The major goal of the project is to develop human iPS cells from cell cultures from skin biopsies or the patient's hair. The iPS cells will be developed primarily for modeling diseases and drug discovery as well as basic research, and for developing the technology that may eventually allow the use of iPS cells for future transplantation therapy. The iPS cells developed in the course of this application are not intended for use in transplantation therapy. Future development of iPS cells for clinical transplantation therapies will be subjected to the appropriate authorization by ethical and regulatory committees.",2025-03-04,https://clinicaltrials.gov/study/NCT00874783
NCT00950430,Imaging of Brain Amyloid Plaques in the Aging Population,ENROLLING_BY_INVITATION,"[""Alzheimer's Disease"", ""Dementia With Lewy Bodies"", ""Frontotemporal Dementia"", ""Vascular Dementia""]",ALL,30.0,100.0,"[""United States""]","[""PHASE4""]","[""F-18 FDG"", ""Pittsburgh Compound B (C-11 PiB)"", ""Tau (18-F-AV-1451)""]","Inclusion Criteria:

* Age 30-100
* Subjects who have completed or are scheduled to undergo the neurological evaluation procedures in the Mayo Clinic Study of Aging, Mayo ADRC, or Mayo neurodegenerative disease clinics.

Exclusion Criteria:

* Subjects unable to lie down without moving for 10 minutes
* Women who are pregnant or cannot stop breast feeding for 24 hours at the time of scanning
* Claustrophobic patients unable to tolerate the scans
* Standard safety exclusionary criteria for MRI such as metallic foreign bodies, pacemaker, etc.","This is a prospective, open label, non-therapeutic, diagnostic imaging study. The purpose of this study is to utilize Pittsburgh Compound B positron emission imaging (PiB PET) to ascertain the relationship between change in amyloid burden over time, and concurrent change in clinical status.",2026-06-23,https://clinicaltrials.gov/study/NCT00950430
NCT01052350,PET Imaging in Parkinson Disease Dementia,ACTIVE_NOT_RECRUITING,"[""Parkinson's Disease""]",ALL,50.0,,"[""United States""]",[],[],"Inclusion Criteria:

* PD patients must exhibit three of the following cardinal signs: rest tremor, rigidity, bradykinesia, or postural instability; or two of these features with one of the first three displaying asymmetry.

Exclusion Criteria:

* history of head trauma, major neurological or psychiatric diseases other than Parkinson disease and dementia, e.g. stroke, multiple sclerosis, depression or schizophrenia
* severe systemic diseases
* inability to lie still for 90 minutes
* metallic implants, pacemakers, or any other contraindication to MRI
* refusal to consent to brain donation","The purpose of this study is to use a brain imaging method called PIB PET to determine dementia subtypes in patients with Parkinson's disease. The ultimate goal of this project is to be able to identify individuals with PD who are at risk of developing dementia, and to distinguish the underlying cause of dementia.",2026-05-12,https://clinicaltrials.gov/study/NCT01052350
